"member_casual","rideable_type","month","riders_count","Year"
"casual","classic_bike","January",8259,2021
"casual","docked_bike","January",2105,2021
"casual","electric_bike","January",7753,2021
"member","classic_bike","January",53441,2021
"member","docked_bike","January",1,2021
"member","electric_bike","January",25275,2021
"casual","classic_bike","February",5695,2021
"casual","docked_bike","February",1271,2021
"casual","electric_bike","February",3165,2021
"member","classic_bike","February",29317,2021
"member","electric_bike","February",10174,2021
"casual","classic_bike","March",45528,2021
"casual","docked_bike","March",15657,2021
"casual","electric_bike","March",22848,2021
"member","classic_bike","March",107017,2021
"member","electric_bike","March",37446,2021
"casual","classic_bike","April",70776,2021
"casual","docked_bike","April",24714,2021
"casual","electric_bike","April",41111,2021
"member","classic_bike","April",143843,2021
"member","electric_bike","April",56786,2021
"casual","classic_bike","May",123950,2021
"casual","docked_bike","May",43353,2021
"casual","electric_bike","May",89613,2021
"member","classic_bike","May",185143,2021
"member","electric_bike","May",89574,2021
"casual","classic_bike","June",188245,2021
"casual","docked_bike","June",51716,2021
"casual","electric_bike","June",130720,2021
"member","classic_bike","June",246775,2021
"member","electric_bike","June",112139,2021
"casual","classic_bike","July",241489,2021
"casual","docked_bike","July",57698,2021
"casual","electric_bike","July",142869,2021
"member","classic_bike","July",265420,2021
"member","electric_bike","July",114934,2021
"casual","classic_bike","August",229988,2021
"casual","docked_bike","August",45065,2021
"casual","electric_bike","August",137618,2021
"member","classic_bike","August",273045,2021
"member","electric_bike","August",118636,2021
"casual","classic_bike","September",195466,2021
"casual","docked_bike","September",35337,2021
"casual","electric_bike","September",133087,2021
"member","classic_bike","September",266818,2021
"member","electric_bike","September",125439,2021
"casual","classic_bike","October",105589,2021
"casual","docked_bike","October",22884,2021
"casual","electric_bike","October",128769,2021
"member","classic_bike","October",210550,2021
"member","electric_bike","October",163434,2021
"casual","classic_bike","November",31866,2021
"casual","docked_bike","November",7614,2021
"casual","electric_bike","November",67449,2021
"member","classic_bike","November",122173,2021
"member","electric_bike","November",130876,2021
"casual","classic_bike","December",19806,2021
"casual","docked_bike","December",4928,2021
"casual","electric_bike","December",45004,2021
"member","classic_bike","December",80829,2021
"member","electric_bike","December",96973,2021
"casual","classic_bike","January",6974,2022
"casual","docked_bike","January",961,2022
"casual","electric_bike","January",10585,2022
"member","classic_bike","January",48093,2022
"member","electric_bike","January",37157,2022
"casual","classic_bike","February",8107,2022
"casual","docked_bike","February",1361,2022
"casual","electric_bike","February",11948,2022
"member","classic_bike","February",51307,2022
"member","electric_bike","February",42886,2022
"casual","classic_bike","March",35387,2022
"casual","docked_bike","March",8358,2022
"casual","electric_bike","March",46137,2022
"member","classic_bike","March",99052,2022
"member","electric_bike","March",95108,2022
"casual","classic_bike","April",47543,2022
"casual","docked_bike","April",12116,2022
"casual","electric_bike","April",66758,2022
"member","classic_bike","April",119169,2022
"member","electric_bike","April",125663,2022
"casual","classic_bike","May",126075,2022
"casual","docked_bike","May",26409,2022
"casual","electric_bike","May",127931,2022
"member","classic_bike","May",197971,2022
"member","electric_bike","May",156472,2022
"casual","classic_bike","June",169996,2022
"casual","docked_bike","June",30640,2022
"casual","electric_bike","June",168415,2022
"member","classic_bike","June",236664,2022
"member","electric_bike","June",163489,2022
"casual","classic_bike","July",156095,2022
"casual","docked_bike","July",31055,2022
"casual","electric_bike","July",218905,2022
"member","classic_bike","July",217078,2022
"member","electric_bike","July",200355,2022
"casual","classic_bike","August",128635,2022
"casual","docked_bike","August",26323,2022
"casual","electric_bike","August",203966,2022
"member","classic_bike","August",215415,2022
"member","electric_bike","August",211593,2022
"casual","classic_bike","September",105375,2022
"casual","docked_bike","September",19826,2022
"casual","electric_bike","September",171496,2022
"member","classic_bike","September",200767,2022
"member","electric_bike","September",203875,2022
"casual","classic_bike","October",61568,2022
"casual","docked_bike","October",12614,2022
"casual","electric_bike","October",134807,2022
"member","classic_bike","October",151992,2022
"member","electric_bike","October",197704,2022
"casual","classic_bike","November",33052,2022
"casual","docked_bike","November",5886,2022
"casual","electric_bike","November",61834,2022
"member","classic_bike","November",111549,2022
"member","electric_bike","November",125414,2022
"casual","classic_bike","December",12652,2022
"casual","docked_bike","December",1925,2022
"casual","electric_bike","December",30317,2022
"member","classic_bike","December",60698,2022
"member","electric_bike","December",76214,2022
"casual","classic_bike","January",13909,2023
"casual","docked_bike","January",1738,2023
"casual","electric_bike","January",24361,2023
"member","classic_bike","January",76385,2023
"member","electric_bike","January",73908,2023
"casual","classic_bike","February",15534,2023
"casual","docked_bike","February",2195,2023
"casual","electric_bike","February",25287,2023
"member","classic_bike","February",74354,2023
"member","electric_bike","February",73075,2023
"casual","classic_bike","March",19456,2023
"casual","docked_bike","March",3020,2023
"casual","electric_bike","March",39725,2023
"member","classic_bike","March",87627,2023
"member","electric_bike","March",108850,2023
"casual","classic_bike","April",48899,2023
"casual","docked_bike","April",8887,2023
"casual","electric_bike","April",89499,2023
"member","classic_bike","April",120839,2023
"member","electric_bike","April",158466,2023
"casual","classic_bike","May",92598,2023
"casual","docked_bike","May",13092,2023
"casual","electric_bike","May",128491,2023
"member","classic_bike","May",177297,2023
"member","electric_bike","May",193349,2023
"casual","classic_bike","June",116594,2023
"casual","docked_bike","June",14974,2023
"casual","electric_bike","June",169662,2023
"member","classic_bike","June",196952,2023
"member","electric_bike","June",221436,2023
"casual","classic_bike","July",142882,2023
"casual","docked_bike","July",18424,2023
"casual","electric_bike","July",170052,2023
"member","classic_bike","July",219248,2023
"member","electric_bike","July",217044,2023
"casual","classic_bike","August",148594,2023
"casual","docked_bike","August",15957,2023
"casual","electric_bike","August",146579,2023
"member","classic_bike","August",248367,2023
"member","electric_bike","August",212196,2023
"casual","classic_bike","September",132236,2023
"casual","electric_bike","September",129399,2023
"member","classic_bike","September",215136,2023
"member","electric_bike","September",189600,2023
"casual","classic_bike","October",83166,2023
"casual","electric_bike","October",93905,2023
"member","classic_bike","October",185197,2023
"member","electric_bike","October",174845,2023
"casual","classic_bike","November",42549,2023
"casual","electric_bike","November",55843,2023
"member","classic_bike","November",133608,2023
"member","electric_bike","November",130518,2023
"casual","classic_bike","December",20464,2023
"casual","electric_bike","December",31208,2023
"member","classic_bike","December",84120,2023
"member","electric_bike","December",88281,2023
"casual","classic_bike","January",10451,2024
"casual","electric_bike","January",14009,2024
"member","classic_bike","January",66074,2024
"member","electric_bike","January",54339,2024
"casual","classic_bike","February",27811,2024
"casual","electric_bike","February",19352,2024
"member","classic_bike","February",112503,2024
"member","electric_bike","February",63498,2024
"casual","classic_bike","March",39614,2024
"casual","electric_bike","March",42936,2024
"member","classic_bike","March",108970,2024
"member","electric_bike","March",110167,2024
"casual","classic_bike","April",57819,2024
"casual","electric_bike","April",73991,2024
"member","classic_bike","April",130584,2024
"member","electric_bike","April",152631,2024
"casual","classic_bike","May",116736,2024
"casual","electric_bike","May",114414,2024
"member","classic_bike","May",190179,2024
"member","electric_bike","May",188375,2024
"casual","classic_bike","June",142252,2024
"casual","electric_bike","June",158917,2024
"member","classic_bike","June",195497,2024
"member","electric_bike","June",214081,2024
"casual","classic_bike","July",160043,2024
"casual","electric_bike","July",160538,2024
"member","classic_bike","July",210518,2024
"member","electric_bike","July",217905,2024
"casual","classic_bike","August",148876,2024
"casual","electric_bike","August",169459,2024
"casual","electric_scooter","August",63,2024
"member","classic_bike","August",204121,2024
"member","electric_bike","August",233266,2024
"member","electric_scooter","August",19,2024
"casual","classic_bike","September",121031,2024
"casual","electric_bike","September",140311,2024
"casual","electric_scooter","September",85152,2024
"member","classic_bike","September",193308,2024
"member","electric_bike","September",221962,2024
"member","electric_scooter","September",59103,2024
"casual","classic_bike","October",98143,2024
"casual","electric_bike","October",118309,2024
"member","classic_bike","October",182479,2024
"member","electric_bike","October",217361,2024
"casual","classic_bike","November",39048,2024
"casual","electric_bike","November",54014,2024
"member","classic_bike","November",109061,2024
"member","electric_bike","November",132919,2024
"casual","classic_bike","December",13142,2024
"casual","electric_bike","December",25227,2024
"member","classic_bike","December",57376,2024
"member","electric_bike","December",82614,2024
